conceptId,conceptEdge,contentId,requiresId,trainsId,topic,parentId,moduleGoalsId,level,elementId1,elementId2,elementId3,elementId4,elementId5,contentNodeTitle,description
101,,55.0,,"96,97,98,99,100,101",Einfügen von Listenelementen,100,1.0,1.0,95a27e37-b8b8-4efe-be4f-990145d2a05d,,dba2b419-677c-48c0-b497-7c5da00d43d8,,,,"Das Einfügen von Listenelementen erfordert das Anpassen von Zeigern, um die Integrität der Datenstruktur zu bewahren. Dabei wird zwischen dem Einfügen am Anfang, in der Mitte oder am Ende der Liste unterschieden, wobei jede Methode unterschiedliche Schritte und Komplexitäten aufweist."
102,,56.0,,"96,97,98,99,100,102",Löschen von Listenelementen,100,1.0,1.0,50325c2f-b272-4881-be7b-4f9b27f0f3a2,,c613e5c3-e948-4b46-abf4-87b85a7d6570,,,,"Das Löschen von Listenelementen in C++ erfordert das sorgfältige Verwalten von Zeigern, um Speicherlecks und undefiniertes Verhalten zu vermeiden. Dabei ist es wichtig, die Verbindungen zwischen den verbleibenden Elementen korrekt anzupassen, um die Integrität der Datenstruktur zu gewährleisten."
103,99,57.0,,"96,97,98,103",Doppelt verkettete Liste,98,1.0,1.0,e93aab67-03b8-45d3-907b-19f95668f3a8,,274dcfad-3f63-4a9b-b994-8cdb43a92aa1,,,,"Eine doppelt verkettete Liste ist eine Datenstruktur, bei der jedes Element auf das vorherige und das nächste Element verweist, was effizientes Einfügen und Löschen von Elementen an beliebigen Positionen ermöglicht. Diese Struktur bietet im Vergleich zu einfach verketteten Listen den Vorteil, dass man sich in beide Richtungen durch die Liste bewegen kann."
104,,58.0,,"96,97,98,103,104",Einfügen von Listenelementen,103,1.0,1.0,acb90e83-3612-4caa-860e-55d0b0c8724b,,2018adfb-e715-4f72-ab68-91ad49a8eb06,,,,"Das Einfügen von Listenelementen erfordert das Anpassen von Zeigern, um die Integrität der Liste zu bewahren und sicherzustellen, dass alle Elemente korrekt verbunden sind. Dabei ist es wichtig, die verschiedenen Szenarien wie das Einfügen am Anfang, in der Mitte oder am Ende der Liste zu berücksichtigen, um die Effizienz und Korrektheit des Algorithmus zu gewährleisten."
105,104,59.0,,"96,97,98,103,105",Löschen von Listenelementen,103,1.0,1.0,af1d7235-437a-4049-b9e3-149676100b9e,,9fb25707-dde0-4c99-b7b9-62719628066a,,,,"Das Löschen von Listenelementen in C++ erfordert das sorgfältige Verwalten von Zeigern, um Speicherlecks und undefiniertes Verhalten zu vermeiden. Dabei ist es wichtig, die Verbindungen zwischen den verbleibenden Elementen korrekt anzupassen, um die Integrität der Datenstruktur zu gewährleisten."
106,,60.0,,"96,97,106",Stapel,97,1.0,1.0,3f485fcb-0951-46ba-9ef4-2bfee494c540,,5f49e2d4-dd24-49df-bb3e-be7ff9da097e,,,,"Ein Stapel ist eine Datenstruktur, die nach dem Prinzip ""Last In, First Out"" (LIFO) arbeitet, wobei das zuletzt hinzugefügte Element als erstes entfernt wird. Typische Operationen umfassen das Hinzufügen (Push) und Entfernen (Pop) von Elementen, was in vielen Algorithmen zur Verwaltung von Daten und zur Implementierung von Rückverfolgungsmechanismen nützlich ist."
107,106,61.0,,"96,97,107",Warteschlangen,97,1.0,1.0,8b7296a5-4e17-472d-ba69-6bcbac80c20a,,4932baa1-bfb8-49cb-a140-bc05d5572667,,,,"Warteschlangen sind lineare Datenstrukturen, die das FIFO-Prinzip (First In, First Out) verwenden, um Elemente in der Reihenfolge ihrer Ankunft zu verarbeiten. Sie sind besonders nützlich für Anwendungen wie Aufgabenplanung und Ressourcenverwaltung, bei denen die Reihenfolge der Verarbeitung entscheidend ist."
108,,62.0,,"96,97,108",STL,97,1.0,1.0,50c13e75-2c44-41ec-bdaf-a1c8c6eeca7a,,391b8387-2e09-4c28-b95a-b7c157fa623d,,,,"Die Standard Template Library (STL) in C++ bietet eine Sammlung von generischen Klassen und Funktionen, die häufig verwendete Datenstrukturen und Algorithmen implementieren. Sie erleichtert die effiziente und wiederverwendbare Programmierung, indem sie Werkzeuge wie Vektoren, Listen, Stapel, Warteschlangen und Algorithmen zur Verfügung stellt."
109,,,,,Bäume und Graphen,96,,,,,,,,,"Bäume und Graphen sind fundamentale Datenstrukturen, die zur effizienten Organisation und Verarbeitung von Daten verwendet werden. Während Bäume eine hierarchische Struktur mit Knoten und Kanten darstellen, ermöglichen Graphen die Modellierung komplexer Netzwerke durch die Verbindung von Knoten in vielfältigen Mustern."
110,,63.0,,"96,109,110",Bäume,109,1.0,1.0,a24aff31-e543-41e0-8fab-e39df6013fa8,,587eaed5-9ffb-4fb2-a168-5854e7d0b113,,,,"Bäume sind hierarchische Datenstrukturen, die aus Knoten bestehen und zur effizienten Organisation und Verwaltung von Daten verwendet werden. Sie ermöglichen schnelle Such-, Einfüge- und Löschoperationen, was sie besonders nützlich für Anwendungen wie Datenbanken und Dateisysteme macht."
111,,64.0,,"96,109,110,111",Binärer Baum,110,1.0,1.0,a7bffa7b-82cd-46c7-a546-1505f792d532,,be2e3fd3-9bf1-4922-8c30-5cc2bbe4edd4,,,,"Ein binärer Baum ist eine Datenstruktur, bei der jeder Knoten höchstens zwei Kinder hat, die als linker und rechter Nachfolger bezeichnet werden. Diese Struktur ermöglicht effiziente Such-, Einfüge- und Löschoperationen, was sie besonders nützlich für die Implementierung von Suchalgorithmen und hierarchischen Datenmodellen macht."
112,,65.0,,"96,109,110,111,112",Implementierung,111,1.0,1.0,e6bf1a31-b4d8-4968-b7cb-f51d55a22408,,1c0a7bc6-663c-4f6a-9585-b5510bfac66f,,,,"Die Implementierung bezieht sich auf den Prozess der konkreten Ausarbeitung und Codierung von Algorithmen und Datenstrukturen, um sie funktionsfähig und effizient zu machen. Dabei werden theoretische Konzepte in ausführbare Programme übersetzt, wobei Aspekte wie Speicherverwaltung, Laufzeitoptimierung und Fehlerbehandlung eine zentrale Rolle spielen."
113,,66.0,,"96,109,110,111,113",Traversierung,111,1.0,1.0,5df449de-81f3-480f-910f-09fb86d03816,,8be7b982-a8b2-4c86-9ed1-ddc36ec458a9,,,,"Traversierung bezeichnet den systematischen Besuch aller Knoten eines Datenstrukturtyps, wie z.B. Bäumen oder Graphen, um bestimmte Operationen durchzuführen oder Informationen zu sammeln. In C++ werden dafür häufig rekursive oder iterative Algorithmen verwendet, die je nach Struktur und Anwendungsfall unterschiedliche Traversierungsstrategien wie Tiefensuche oder Breitensuche anwenden."
114,111,67.0,,"96,109,110,114",Binärer Suchbaum,110,1.0,1.0,d0335df5-a3b3-4355-a687-24fabe5747a3,,0b655fe6-9c88-46b8-ad71-501b670266e8,,,,"Ein binärer Suchbaum ist eine spezielle Art von binärem Baum, bei dem jeder Knoten höchstens zwei Kinder hat und die linke Unterstruktur nur Knoten mit kleineren Werten und die rechte Unterstruktur nur Knoten mit größeren Werten enthält. Diese Struktur ermöglicht effiziente Such-, Einfüge- und Löschoperationen, da sie die Daten in einer geordneten Weise speichert."
115,,68.0,,"96,109,110,114,115",Implementierung,114,1.0,1.0,1c874593-8555-467a-a936-a46cd4ca3f61,,59df47c5-f2d5-4e59-a346-ba5faf117dbc,,,,"Die Implementierung bezieht sich auf den Prozess der konkreten Ausarbeitung und Codierung eines Algorithmus in einer Programmiersprache, um eine bestimmte Aufgabe zu lösen. Dabei werden abstrakte Konzepte und Datenstrukturen in ausführbare Programme umgewandelt, wobei Effizienz und Korrektheit im Vordergrund stehen."
116,,69.0,,"96,109,110,114,116",Suchen,114,1.0,1.0,002edb5f-daf2-4cfb-abfb-f15aa3910eee,,953376eb-3538-4c0a-89b7-68cf9cd1329c,,,,"Das Suchen ist ein grundlegender Prozess in der Informatik, bei dem ein bestimmtes Element innerhalb einer Datenstruktur identifiziert wird. Effiziente Suchalgorithmen wie die lineare Suche und die binäre Suche sind entscheidend, um die Leistung von Programmen zu optimieren und schnelle Zugriffe auf Daten zu ermöglichen."
117,,70.0,,"96,109,110,114,116,117",Mehrfache Schlüssel,116,1.0,1.0,77b70435-d43e-41cd-b9a6-7b9cb48a3122,,d6dec2aa-2523-4aba-b537-1f6edac2a9d7,,,,"Mehrfache Schlüssel ermöglichen es, mehrere Werte in einer Datenstruktur effizient zu speichern und abzurufen, indem sie verschiedene Schlüssel für die gleiche Datenmenge verwenden. Dies verbessert die Flexibilität und Effizienz bei der Datenverwaltung und -suche, indem es ermöglicht, Daten auf verschiedene Weisen zu indizieren und zuzugreifen."
118,,71.0,,"96,109,110,114,118",Einfügen,114,1.0,1.0,72766d08-c2ce-46db-8a3d-a57ead017608,,61903353-2d7c-450c-a1d9-4d37db41660d,,,,"Das Einfügen ist ein grundlegender Vorgang in der Informatik, bei dem ein neues Element in eine bestehende Datenstruktur wie ein Array, eine Liste oder einen Baum eingefügt wird. Dieser Prozess erfordert oft das Verschieben von Elementen und kann je nach Datenstruktur und Implementierung unterschiedliche Komplexitäten aufweisen."
119,118,72.0,,"96,109,110,114,119",Löschen,114,1.0,1.0,48fb5f01-edff-40cd-9be4-97fb98e5076d,,0d22b0ba-1457-47d8-8f1c-f604e1b7ff7f,,,,"Das Löschen von Elementen in Datenstrukturen erfordert sorgfältige Planung, um die Integrität und Effizienz der Struktur zu gewährleisten. Dabei müssen oft Zeiger und Speicherverwaltung berücksichtigt werden, um Speicherlecks und unerwartetes Verhalten zu vermeiden."
120,119,73.0,,"96,109,110,114,120",AVL,114,1.0,1.0,1ec09063-02cd-4f83-9c3c-42fd603bdd86,,41891430-715b-4de0-8eaa-08e31ff8745e,,,,"AVL-Bäume sind selbstbalancierende binäre Suchbäume, die nach den Erfindern Adelson-Velsky und Landis benannt sind. Sie gewährleisten durch Rotationen eine logarithmische Höhe, was effiziente Such-, Einfüge- und Löschoperationen ermöglicht."
121,110,74.0,,"96,109,121",Graphen,109,1.0,1.0,bb01abe4-5fda-4f48-90e5-adb68bbe1db9,,2d2555ab-1d8f-4a57-a399-ac7c4cb09d1d,,,,"Graphen sind mathematische Strukturen, die aus Knoten (auch als Ecken bezeichnet) und Kanten bestehen und zur Modellierung von Netzwerken und Beziehungen verwendet werden. Sie ermöglichen die effiziente Darstellung und Analyse von Verbindungen und Pfaden, was in vielen Anwendungen wie Routenplanung, sozialen Netzwerken und Kommunikationssystemen von zentraler Bedeutung ist."
122,,75.0,,"96,109,121,122",Teilgraphen und Isomorphie,121,1.0,1.0,79c85457-877d-4a03-a00a-5ddc71f8cf28,,69e772a7-d844-4789-be9e-009063ffcb97,,,,"Ein Teilgraph ist ein Graph, der durch die Auswahl einer Teilmenge der Knoten und der zugehörigen Kanten eines größeren Graphen entsteht. Zwei Graphen sind isomorph, wenn es eine bijektive Abbildung zwischen ihren Knoten gibt, die die Kantenstruktur erhält, was bedeutet, dass die Graphen strukturell identisch sind."
123,122,76.0,,"96,109,121,123",Speicherung,121,1.0,1.0,a867ff9b-cf10-47de-9cd3-0df5e74f08bc,,293bfb97-d353-4f60-adf0-0e31c0fe2fb1,,,,"Speicherung bezieht sich auf die Art und Weise, wie Daten in einem Computersystem organisiert und abgelegt werden, um effizienten Zugriff und Manipulation zu ermöglichen. Verschiedene Datenstrukturen wie Arrays, Listen und Bäume bieten unterschiedliche Methoden zur Speicherung und Verwaltung von Daten, um spezifische Anforderungen und Optimierungen zu erfüllen."
124,123,77.0,,"96,109,121,124",Gewichtete Graphen,121,1.0,1.0,1910a869-da36-4236-8822-d1133d50e4b6,,55cc077b-753a-45e4-af1d-df0a84a17c74,,,,"Gewichtete Graphen sind Strukturen, bei denen Kanten zwischen Knoten mit Gewichten versehen sind, die oft Kosten, Entfernungen oder andere relevante Werte repräsentieren. Diese Graphen ermöglichen die Anwendung von Algorithmen zur Optimierung von Pfaden und Netzwerken, wie z.B. Dijkstra's Algorithmus zur Bestimmung der kürzesten Wege."
125,124,78.0,,"96,109,121,125",Implementierung,121,1.0,1.0,1e699720-35f1-4e07-9a74-bdb76ef2bd1b,,69e67de4-e4b1-4489-869b-2b04bfac7f36,,,,"Die Implementierung bezieht sich auf den Prozess der konkreten Ausarbeitung und Codierung eines Algorithmus in einer Programmiersprache, um eine bestimmte Aufgabe zu lösen. Dabei werden Datenstrukturen verwendet, um die Organisation und Verwaltung der Daten effizient zu gestalten und die Leistungsfähigkeit des Programms zu optimieren."
126,125,,,,Traversierung,121,,,,,,,,,"Traversierung bezeichnet den Prozess des systematischen Besuchens aller Knoten in einer Datenstruktur wie einem Baum oder Graphen. Dabei werden verschiedene Strategien wie Tiefensuche (DFS) und Breitensuche (BFS) verwendet, um die Knoten in einer bestimmten Reihenfolge zu durchlaufen und zu verarbeiten."
127,,79.0,,"96,109,121,126,127",Tiefensuche,126,1.0,1.0,bd0825d7-2734-4606-b7c8-02364d1bbd0d,,258d9439-b8cc-4092-90b5-1ac8123fa5fb,,,,"Die Tiefensuche (Depth-First Search, DFS) ist ein Algorithmus zur Durchsuchung oder Traversierung von Graphen und Baumstrukturen, bei dem man so tief wie möglich in die Struktur eindringt, bevor man zurückverfolgt und alternative Pfade untersucht. Sie kann rekursiv oder iterativ implementiert werden und ist nützlich für Aufgaben wie das Finden von Pfaden, Zyklen und zusammenhängenden Komponenten."
128,,80.0,,"96,109,121,126,128",Breitensuche,126,1.0,1.0,25c2bbb8-2b18-4b93-9a3e-577565745099,,8b49c83f-1896-4af6-96a9-c2e2fa9d0f82,,,,"Die Breitensuche (Breadth-First Search, BFS) ist ein Algorithmus zur Durchsuchung oder Traversierung von Graphen, der alle Knoten auf der aktuellen Ebene vollständig erkundet, bevor er zu den Knoten der nächsten Ebene übergeht. Sie verwendet eine Warteschlange, um die zu besuchenden Knoten zu verwalten, und ist besonders nützlich für die Ermittlung kürzester Pfade in ungewichteten Graphen."
129,,81.0,,"96,109,121,129",Minimale Spannbäume,121,1.0,1.0,7722a5d7-83eb-4bf0-82fc-0a9ace45069f,,31ba60b8-4c9e-4357-b920-d371c00aa851,,,,"Ein minimaler Spannbaum ist ein Teilgraph eines gewichteten Graphen, der alle Knoten verbindet und die Summe der Kantengewichte minimiert. Bekannte Algorithmen zur Bestimmung minimaler Spannbäume sind Kruskal's Algorithmus und Prim's Algorithmus, die effiziente Lösungen für dieses Optimierungsproblem bieten."
130,,82.0,,"96,109,121,129,130",Prim-Algorithmus,129,1.0,1.0,50e2b214-97d2-4c05-8017-19f6a7ad35d3,,b1d72a2a-cc54-4a21-8fd5-862b9b320e36,,,,"Der Prim-Algorithmus ist ein Greedy-Algorithmus zur Bestimmung eines minimalen Spannbaums in einem zusammenhängenden, ungerichteten Graphen, indem er schrittweise die Kanten mit den geringsten Kosten auswählt, die den Baum erweitern, ohne Zyklen zu erzeugen. In C++ kann der Algorithmus effizient implementiert werden, indem Datenstrukturen wie Prioritätswarteschlangen und Adjazenzlisten verwendet werden, um die Laufzeit zu optimieren."
131,,83.0,,"96,109,121,129,131",Kruskal-Algorithmus,129,1.0,1.0,411c2196-2678-4435-9435-853996a08768,,b1cb8bb2-84d2-4c72-a5d4-4a7aa6dc662c,,,,"Der Kruskal-Algorithmus ist ein gieriger Algorithmus zur Bestimmung eines minimalen Spannbaums in einem gewichteten, ungerichteten Graphen. Er arbeitet, indem er die Kanten des Graphen nach aufsteigender Gewichtung sortiert und dann sukzessive die Kanten hinzufügt, die keinen Zyklus bilden, bis alle Knoten verbunden sind."
132,,84.0,,"96,109,121,132",Transitive Hülle,121,1.0,1.0,31eb1997-8b32-4b08-b41e-6ef5449c5d32,,fbb787bc-16da-4628-89a8-a30ef72292e2,,,,"Die transitive Hülle eines gerichteten Graphen ist die Erweiterung des Graphen, bei der für jedes Paar von Knoten, zwischen denen ein Pfad existiert, eine direkte Kante hinzugefügt wird. Dies ermöglicht es, effizient zu überprüfen, ob eine Verbindung zwischen zwei Knoten besteht, indem man lediglich die Existenz einer direkten Kante prüft."
133,,85.0,,"96,109,121,132,133",Warshall-Algorithmus,132,1.0,1.0,b4559b53-847e-403f-b2d5-80f3656da923,,0e2a74a6-984c-47a8-8d8c-1bd4f052b658,,,,"Der Warshall-Algorithmus ist ein effizienter Algorithmus zur Berechnung des Transitivabschlusses einer gerichteten Graphen, indem er die Erreichbarkeit zwischen allen Knotenpaaren bestimmt. Er verwendet eine Matrixdarstellung des Graphen und hat eine Zeitkomplexität von O(n³), wobei n die Anzahl der Knoten ist."
134,,86.0,,"96,109,121,134",Topologische Sortierung,121,1.0,1.0,b40f222d-c50d-4cb9-b778-67668fffac6e,,56980493-caab-4fe3-914c-029911b4471a,,,,"Die topologische Sortierung ist ein Verfahren zur linearen Anordnung der Knoten eines gerichteten azyklischen Graphen (DAG), sodass für jede gerichtete Kante von Knoten u nach Knoten v der Knoten u vor dem Knoten v in der Anordnung erscheint. Dieses Konzept ist besonders nützlich für Aufgaben wie die Planung von Abhängigkeiten und die Reihenfolge von Ausführungen, beispielsweise bei der Kompilierung von Programmen oder der Organisation von Projektaufgaben."
135,,87.0,,"96,109,121,135",Kürzeste Verbidung zwischen Knoten,121,1.0,1.0,bd74b604-ac66-4d6c-abee-33e898b270a7,,2a0cfa7e-7bf4-4e49-b772-8a1c90941ce3,,,,"Die Bestimmung der kürzesten Verbindung zwischen Knoten in einem Graphen ist ein zentrales Problem, das durch Algorithmen wie Dijkstra oder den Bellman-Ford-Algorithmus gelöst werden kann. Diese Algorithmen nutzen Datenstrukturen wie Prioritätswarteschlangen und Adjazenzlisten, um effizient die minimalen Pfade in gewichteten Graphen zu berechnen."
136,,88.0,,"96,109,121,135,136",Dijkstra-Algorithmus,135,1.0,1.0,ebc88923-1bdc-4e82-b39c-cbdec95a8798,,f529b3fc-deb1-4fab-8971-1f77f8bfe298,,,,"Der Dijkstra-Algorithmus ist ein effizienter Algorithmus zur Bestimmung der kürzesten Pfade in einem Graphen mit nicht-negativen Kantengewichten. Er verwendet eine Prioritätswarteschlange, um iterativ den kürzesten bekannten Pfad zu erweitern, bis alle kürzesten Pfade von einem Startknoten zu allen anderen Knoten gefunden sind."
137,,89.0,,"96,109,121,135,137",Floyd-Algorithmus,135,1.0,1.0,2883f961-8a4b-41a7-857b-4cc8b324c872,,25c4a69e-8ca2-4430-b4a0-886c4fd13789,,,,"Der Floyd-Algorithmus, auch bekannt als Floyd-Warshall-Algorithmus, dient zur Berechnung der kürzesten Pfade zwischen allen Paaren von Knoten in einem gewichteten Graphen. Er verwendet eine dynamische Programmiertechnik, um die Lösung in einer Zeitkomplexität von O(n³) zu finden, wobei n die Anzahl der Knoten im Graphen ist."
138,"32,96",,,,Grundlegende Algorithmen,1,,,,,,,,,Grundlegende Algorithmen wie Sortier- und Suchalgorithmen sind essenziell für die effiziente Verarbeitung und Organisation von Daten. Sie bilden die Basis für komplexere Anwendungen und sind entscheidend für die Optimierung der Laufzeit und Ressourcennutzung in der Softwareentwicklung.
139,,,,,Suchen und Sortieren von Daten,138,,,,,,,,,"Effiziente Such- und Sortieralgorithmen sind entscheidend, um große Datenmengen schnell und präzise zu verarbeiten. Durch die Anwendung verschiedener Techniken wie binäre Suche, Quicksort und Mergesort können Programme optimiert werden, um die Leistung und Reaktionsfähigkeit zu verbessern."
140,,90.0,,"138,139,140",Suchen,139,1.0,1.0,2e66d789-d230-47b7-a556-ff3f14e2ce4d,,17aaebd0-548a-475f-82b2-1d2b1ff200bb,,,,"Das Suchen ist ein grundlegender Prozess in der Informatik, bei dem ein bestimmtes Element innerhalb einer Datenstruktur identifiziert wird. Effiziente Suchalgorithmen wie die lineare Suche und die binäre Suche sind entscheidend, um die Leistung von Programmen zu optimieren und schnelle Zugriffe auf Daten zu ermöglichen."
141,,91.0,,"138,139,140,141",Sequentielle Suche,140,1.0,1.0,afb352bf-5431-4a48-a72e-168d9d3a1e30,,273baf19-7716-4b32-8436-a803247c576e,,,,"Die sequentielle Suche ist ein grundlegender Algorithmus, der ein Element in einer Liste findet, indem er jedes Element der Reihe nach überprüft, bis das gesuchte Element gefunden oder das Listenende erreicht ist. Dieser Ansatz ist einfach zu implementieren, aber bei großen Datenmengen ineffizient, da seine Laufzeit linear zur Anzahl der Elemente in der Liste ist."
142,141,92.0,,"138,139,140,142",Binäre Suche,140,1.0,1.0,3a09d7cf-fe03-4ae4-b3b0-1fbbba62901a,,901a09c9-3c7c-42e3-bf0f-9c4f0777e000,,,,"Die binäre Suche ist ein effizienter Algorithmus zur Auffindung eines Elements in einer sortierten Liste, indem sie die Liste wiederholt in zwei Hälften teilt und die Suche auf die relevante Hälfte beschränkt. Dieser Ansatz reduziert die durchschnittliche Laufzeit auf logarithmische Komplexität, was ihn besonders nützlich für große Datensätze macht."
143,142,93.0,,"138,139,140,143",Hashing,140,1.0,1.0,25005314-6def-4906-bbb3-7d2351e00b1e,,95238d2f-8531-4277-bde2-a5fabe367ba1,,,,"Hashing ist eine Technik zur effizienten Datenverwaltung, bei der ein Hash-Algorithmus verwendet wird, um Daten in einer Hash-Tabelle zu speichern und schnell wiederzufinden. Durch die Zuordnung von Schlüsseln zu Speicherplätzen ermöglicht Hashing eine schnelle Suche, Einfügung und Löschung von Daten, was es zu einem wichtigen Werkzeug in der Informatik macht."
144,,94.0,,"138,139,144",Sortieren,139,1.0,1.0,2077a528-4dad-48ce-a7d2-9f8a2054a455,,0dea440e-a589-4ba3-ad75-bd435851c103,,,,"Sortieralgorithmen sind essenziell, um Daten effizient zu ordnen und den Zugriff auf sie zu optimieren. Zu den gängigen Methoden gehören der Bubble Sort, der Selection Sort und der Quick Sort, die jeweils unterschiedliche Ansätze und Effizienzgrade aufweisen."
145,,95.0,,"138,139,144,145",Selection-Sort,144,1.0,1.0,aa79d0d8-36cd-4443-ad90-b951b9634cf7,,7b931633-c7b6-4312-ab61-9588c338eb73,,,,"Selection-Sort ist ein einfacher, aber ineffizienter Sortieralgorithmus, der wiederholt das kleinste (oder größte) Element aus der unsortierten Teilliste auswählt und an die richtige Position in der sortierten Teilliste verschiebt. Der Algorithmus hat eine Zeitkomplexität von O(n²) und eignet sich daher eher für kleine Datenmengen."
146,,96.0,,"138,139,144,146",Insertion-Sort,144,1.0,1.0,09b28892-e803-4d07-a84d-c0d90b7746fd,,179efc05-c404-4bed-9c06-912138c3961f,,,,"Insertion-Sort ist ein einfacher, aber ineffizienter Sortieralgorithmus, der Elemente einer Liste schrittweise in die richtige Position einfügt, indem er sie mit den bereits sortierten Elementen vergleicht und verschiebt. Obwohl er für kleine oder fast sortierte Datenmengen geeignet ist, skaliert seine Laufzeit von O(n²) schlecht bei größeren Datensätzen."
147,,97.0,,"138,139,144,147",Bubble-Sort,144,1.0,1.0,7f53cf8c-d9fe-4f86-9f48-1a3e09f9aa59,,720b81e1-4d80-4aa4-b842-6e38b0983493,,,,"Bubble-Sort ist ein einfacher Vergleichs-basierter Sortieralgorithmus, der wiederholt benachbarte Elemente vertauscht, wenn sie in der falschen Reihenfolge stehen, bis die Liste vollständig sortiert ist. Trotz seiner Einfachheit und leichten Implementierbarkeit in C++ ist er aufgrund seiner ineffizienten Laufzeit von O(n^2) für große Datenmengen weniger geeignet."
148,146,98.0,,"138,139,144,148",Shell-Sort,144,1.0,1.0,09a763e1-1de6-4efb-8a63-218d1982e36a,,99c9aa3c-6096-4465-bb77-ada5b005ea92,,,,"Shell-Sort ist ein effizienter Vergleichssortieralgorithmus, der durch schrittweise Reduzierung des Abstands zwischen zu vergleichenden Elementen eine verbesserte Version des Insertion-Sort darstellt. Er beginnt mit einem großen Abstand und verringert diesen sukzessive, wodurch größere Teillisten schneller sortiert werden und letztlich eine nahezu sortierte Liste entsteht, die abschließend mit Insertion-Sort bearbeitet wird."
149,,99.0,,"138,139,144,149",Quick-Sort,144,1.0,1.0,7e2b7b8c-2269-418d-8fb9-b3ffdc8c45da,,9003f53e-0298-4b17-a50f-c3ab0b91fbd7,,,,"Quick-Sort ist ein effizienter, rekursiver Sortieralgorithmus, der das Prinzip des ""Teile und Herrsche"" anwendet, indem er ein Pivot-Element auswählt und das zu sortierende Array in zwei Teile aufteilt, die jeweils kleiner oder größer als das Pivot-Element sind. Durch wiederholtes Anwenden dieses Prozesses auf die Teilarrays erreicht Quick-Sort im Durchschnitt eine Laufzeit von O(n log n), was ihn besonders für große Datenmengen geeignet macht."
150,,100.0,,"138,139,144,150",Heap,144,1.0,1.0,742232eb-d298-4611-979c-ae29dee75afa,,b8cd3257-c254-4b9f-9f95-b575a577bfe7,,,,"Ein Heap ist eine spezielle Baumstruktur, die die Heap-Eigenschaft erfüllt, bei der in einem Max-Heap jedes Elternteil größer oder gleich seinen Kindern ist und in einem Min-Heap jedes Elternteil kleiner oder gleich seinen Kindern. Diese Struktur ermöglicht effiziente Implementierungen von Prioritätswarteschlangen, da sowohl das Einfügen als auch das Entfernen des höchsten (oder niedrigsten) Elements in logarithmischer Zeit erfolgen kann."
151,,101.0,,"138,139,144,151",Merge-Sort,144,1.0,1.0,495c6178-5680-4a26-8727-e23eb5cd9fd6,,aacfe7c6-9259-414a-b148-1092570d34ca,,,,"Merge-Sort ist ein effizienter, stabiler Sortieralgorithmus, der das Prinzip ""Teile und Herrsche"" verwendet, um eine Liste in kleinere Teilmengen zu zerlegen und diese rekursiv zu sortieren, bevor sie wieder zusammengeführt werden. In C++ kann Merge-Sort durch rekursive Funktionen und dynamische Speicherverwaltung implementiert werden, um große Datenmengen effektiv zu sortieren."
